常用通讯错误列表及解决方法
| 错误代码 (Hex) | 含义 (English) | 含义 (中文) | 可能原因 | 解决方法 |
| :------------- | :------------- | :----------- | :------- | :------ |
| `0x0000` | Normal completion | 正常结束 | 操作成功 | 无需处理。 |
| `0x0400` | Protection: Cannot write | 保护：无法写入 | 1. 尝试向只读区域写入（如程序区、部分系统寄存器）。<br>2. 软元件被密码保护或写保护。<br>3. PLC处于RUN模式，禁止写入程序。 | 1. 确认目标地址是否为可读写区域。<br>2. 检查PLC的保护设置（如密码、写保护开关）。<br>3. 将PLC置于STOP模式进行写入操作（如果是写程序）。 |
| `0x0401` | Specified device code does not exist | 指定的设备代码不存在 | 1. 读写了一个PLC内存中不存在的软元件地址（如地址超出范围）。<br>2. 地址格式错误（如 `M99999`，但最大只有 `M8191`）。<br>3. 指定了不存在的特殊继电器/寄存器。 | 1. 核对PLC型号，确认软元件的最大范围。<br>2. 仔细检查请求中的地址拼写和格式（如 `D100`, `M10`, `X10`）。<br>3. 确认目标软元件在当前PLC配置中确实存在。 |
| `0x0402` | Device already used | 设备已被使用 | 1. 在批量读写或块读写中，指定了重叠的地址范围。<br>2. 某些特殊功能模块占用了通讯使用的软元件，发生冲突。 | 1. 检查批量操作的地址范围，确保没有重叠。<br>2. 查阅PLC和通讯模块的手册，确认其占用的软元件范围，避免冲突。 |
| `0x0403` | Specified device is not allowed | 指定的设备不允许 | 1. 尝试访问了当前CPU或模块不支持的软元件类型或范围。 | 1. 查阅CPU和通讯模块的手册，确认支持的软元件类型和访问范围。 |
| `0x0404` | Specified device cannot be accessed | 指定的设备无法访问 | 1. 尝试访问了当前状态下不可访问的软元件（如某些只在特定模式下可用）。 | 1. 检查PLC的运行模式（RUN/STOP）以及目标软元件的访问条件。 |
| `0x0501` | CPU unit does not have CPU module installed | CPU单元中未安装CPU模块 | CPU单元内未安装CPU模块，或CPU模块故障 | 1. 确认CPU模块已正确安装并牢固连接。<br>2. 检查CPU模块的状态指示灯。 |
| `0x0502` | CPU unit is in STOP status | CPU单元处于STOP状态 | CPU单元处于STOP状态 | 1. 将CPU单元切换到RUN状态。 |
| `0x0503` | CPU unit is in TEST mode | CPU单元处于TEST模式 | CPU单元处于TEST模式 | 1. 将CPU单元切换到RUN模式。 |
| `0x0504` | CPU unit is in PROGRAM mode | CPU单元处于PROGRAM模式 | CPU单元处于PROGRAM模式 | 1. 将CPU单元切换到RUN模式。 |
| `0xC000` | Command error | 指令错误 | 1. 发送了PLC无法识别或不支持的MC协议命令。<br>2. 协议版本不匹配。 | 1. 核对发送的命令格式是否符合MC协议规范。<br>2. 确认PLC和通讯模块支持的协议版本。 |
| `0xC001` | Parameter error | 参数错误 | 1. 发送的命令参数格式错误或值超出范围。<br>2. 软元件地址格式错误。 | 1. 仔细检查命令报文中的参数部分。<br>2. 确认地址格式（如 `D*`, `M%` 等）是否正确。 |
| `0xC002` | Data length error | 数据长度错误 | 1. 请求读写的数据长度错误（如超过单次允许的最大长度）。<br>2. 请求跨越了软元件边界（如从D0读取3个字节）。<br>3. 发送的数据长度与命令中声明的长度不符。 | 1. 核对MC协议手册中单次读写操作的最大数据长度限制。<br>2. 确保请求的地址和长度不会跨越数据类型边界（如16位字、32位双字）。<br>3. 检查发送报文的长度字段。 |
| `0xC003` | Data content error | 数据内容错误 | 1. 发送的数据内容包含无效值。 | 1. 检查发送的数据内容是否在有效范围内。 |
| `0xC004` | Communication buffer error | 通讯缓冲区错误 | 1. 通讯缓冲区溢出。 2. 通讯处理繁忙。 | 1. 降低通讯频率。<br>2. 检查PLC程序是否过于复杂，导致通讯处理延时。 |
| `0xC005` | CPU watchdog timer error | CPU监视定时器错误 | 1. CPU监视定时器超时，导致程序停止，进而影响通讯。 | 1. 检查并优化PLC程序，减少CPU负载。<br>2. 必要时延长CPU监视定时器的时间。 |
| `0xC006` | Combination error of devices for batch write | 批量写入时设备组合错误 | 1. 在批量写入操作中，指定了不兼容或不允许组合在一起的软元件类型。 | 1. 查阅MC协议手册，确认哪些软元件类型可以组合批量写入。 |
| `0xC007` | Write prohibited | 禁止写入 | 1. PLC处于RUN模式，禁止写入程序或某些受保护区域。<br>2. 受密码保护。 | 1. 将PLC置于STOP模式进行写入（如果是程序）。<br>2. 检查并解除密码保护。 |
| `0xC008` | Program memory capacity insufficient | 程序存储器容量不足 | 1. 尝试下载的程序过大，超出了存储器容量。 | 1. 删除不必要的程序段或扩展存储器。 |
| `0xC009` | Program error | 程序错误 | 1. PLC程序中存在语法错误或逻辑错误。 | 1. 检查并修正PLC程序。 |
| `0xC00A` | Module error | 模块错误 | 1. 扩展模块故障或未正确安装。 | 1. 检查扩展模块的安装和状态指示灯。 |
| `0xC00B` | Rack error | 机架错误 | 1. 机架配置错误。 | 1. 检查并修正PLC的机架配置。 |
| `0xC00C` | CPU module error | CPU模块错误 | 1. CPU模块自身故障。 | 1. 检查CPU模块状态，必要时更换。 |
| `0xC00D` | Intelligent function module error | 智能功能模块错误 | 1. 智能功能模块故障或未正确配置。 | 1. 检查智能功能模块的安装、配置和状态。 |
| `0xC00E` | Programming error | 编程错误 | 1. 尝试了非法的编程操作。 | 1. 检查编程操作的合法性。 |
| `0xC00F` | Format error | 格式错误 | 1. 通讯数据格式错误。 | 1. 检查通讯协议格式设置。 |
| `0xC010` | Serial communication error | 串行通讯错误 | 1. RS485/RS232线路连接错误或断线。<br>2. 通讯参数（波特率、数据位、停止位、校验位）不匹配。 | 1. 检查线路连接（A/B线是否接反，屏蔽层接地）。<br>2. 确认上位机和PLC（或通讯模块）的串口参数设置完全一致。 |
| `0xC011` | Timeout error | 超时错误 | 1. 发送请求后，在规定时间内未收到PLC的响应。 | 1. 检查网络/线路连接。<br>2. 增加上位机的超时时间设置。<br>3. 检查PLC是否繁忙。 |
| `0xC012` | Response error | 响应错误 | 1. 收到的响应数据格式错误或校验失败。 | 1. 检查通讯线路是否有干扰。<br>2. 核对协议格式和校验方式。 |
| `0xC013` | Frame error | 帧错误 | 1. 接收到的数据帧格式错误（如帧头、帧尾、长度不匹配）。 | 1. 检查通讯协议设置。<br>2. 检查线路质量。 |
| `0xC014` | Parity error | 奇偶校验错误 | 1. 串行通讯中数据的奇偶校验失败。 | 1. 确认上位机和PLC（或通讯模块）的奇偶校验设置一致（None, Odd, Even）。 |
| `0xC015` | Overrun error | 溢出错误 | 1. 串行通讯接收缓冲区溢出。 | 1. 降低数据传输速率。<br>2. 增加接收缓冲区大小（如果上位机软件支持）。 |
| `0xC016` | Framing error | 帧格式错误 | 1. 串行通讯中检测到帧格式错误（如停止位错误）。 | 1. 检查上位机和PLC（或通讯模块）的停止位设置是否一致。 |
| `0xC017` | Break detection error | 中断检测错误 | 1. 串行通讯中检测到BREAK信号。 | 1. 检查线路是否受到强干扰或连接错误。 |
| `0xC018` | Buffer full error | 缓冲区满错误 | 1. 发送或接收缓冲区已满。 | 1. 降低通讯频率。<br>2. 检查程序处理速度。 |
| `0xC019` | Memory error | 存储器错误 | 1. 通讯模块或CPU内部存储器错误。 | 1. 重启PLC或通讯模块。<br>2. 必要时联系技术支持。 |
| `0xC01A` | Hardware error | 硬件错误 | 1. 通讯模块或CPU硬件故障。 | 1. 检查硬件状态指示灯。<br>2. 尝试更换模块。 |
| `0xC01B` | Software error | 软件错误 | 1. 通讯模块或CPU内部软件错误。 | 1. 重启设备。<br>2. 必要时更新固件。 |
| `0xC01C` | Initialization error | 初始化错误 | 1. 通讯模块初始化失败。 | 1. 检查模块配置。<br>2. 重启设备。 |
| `0xC01D` | Configuration error | 配置错误 | 1. 通讯模块配置参数错误。 | 1. 重新检查并配置通讯模块参数（IP、站号、协议等）。 |
| `0xC01E` | Authentication error | 认证错误 | 1. 通讯需要认证，但认证失败。 | 1. 检查认证凭据（如果适用）。 |
| `0xC01F` | Security error | 安全错误 | 1. 通讯违反了安全策略。 | 1. 检查PLC的安全设置。 |
| `0xC020` - `0xC0FF` | Various errors | 各种错误 | 一系列特定于功能或模块的错误 | 1. 查阅对应模块的详细手册。 |
| `0xB503` | Specified soft element does not exist | 指定的软元件不存在 | 与 `0x0401` 基本相同，指定了不存在的软元件地址。 | 1. 核对PLC型号和软元件范围。<br>2. 检查地址拼写。 |
| `0x1B00` | Network module not ready | 网络模块未准备就绪 | 1. 以太网通讯模块（如QJ71E71, FX3U-ENET）尚未完成启动。 | 1. 等待模块启动完成（观察模块状态LED）。<br>2. 检查模块电源和固件。 |
| `0x1B01` | Network module not connected | 网络模块未建立连接 | 1. 上位机与PLC的以太网模块之间物理连接中断。<br>2. IP地址、子网掩码、网关设置错误。<br>3. 防火墙或路由器阻止了通讯。 | 1. 检查网线、交换机、路由器连接。<br>2. 确认上位机和PLC以太网模块的IP配置在同一网段。<br>3. 检查并配置防火墙规则，开放相应端口。 |
| `0x1B02` | Network module busy | 网络模块忙 | 1. 网络模块处理请求过多，暂时无法响应。 | 1. 降低通讯频率。 |
| `0x1B03` | Network module response timeout | 网络模块响应超时 | 1. 发送请求后，未在设定时间内收到PLC的响应。 | 1. 检查网络延迟。<br>2. 增加上位机的超时时间设置。<br>3. 检查PLC程序是否繁忙。 |
| `0x1B04` | Network module buffer overflow | 网络模块缓冲区溢出 | 1. 发送数据速度过快，超过了网络模块的处理能力。 | 1. 降低发送频率。 |
| `0x1B05` | Network module parameter error | 网络模块参数错误 | 1. 发送的请求报文格式错误，参数超出范围。 | 1. 检查通讯程序，确保发送的命令和参数符合协议规范。 |
| `0x1B06` | Network module internal error | 网络模块内部错误 | 1. 网络模块内部发生未知错误。 | 1. 重启网络模块或CPU。<br>2. 检查固件版本。 |
| `0x1B07` | Network module target station not found | 网络模块未找到目标站点 | 1. 请求的目标PLC站号、网络号、单元号不正确。 | 1. 仔细核对上位机程序中设置的PLC网络号（Network Number）、PC号（PC Number / Station Number）、单元号（Unit Number）与PLC硬件（或GX Works2/3中的网络配置）的设置是否完全一致。 |
| `0x1B08` | Network module target unit not found | 网络模块未找到目标单元 | 1. 目标单元号（Unit Number）错误。 | 1. 检查上位机程序和PLC侧的单元号设置。 |
| `0x1B09` | Network module frame format error | 网络模块帧格式错误 | 1. 接收到的数据帧格式不符合协议。 | 1. 检查通讯协议设置（如帧头、帧尾、校验位等）。 |
| `0x1B0A` | Network module sequence number error | 网络模块序列号错误 | 1. 用于检测重复或乱序的帧。 | 1. 通常是瞬时问题，重试即可。 |
| `0x1B0B` | Network module mode switching | 网络模块正在切换模式 | 1. 网络模块在RUN/STOP模式切换中。 | 1. 等待PLC状态稳定后重试。 |
| `0x1B0C` | Network module access path error | 网络模块访问路径错误 | 1. 通过多级网络访问时，中间节点配置错误。 | 1. 检查整个网络路径上的所有设备配置。 |
| `0x1B0D` | Network module access permission error | 网络模块访问权限错误 | 1. 未授权访问某些资源。 | 1. 检查PLC的安全设置。 |
| `0x1B0E` | Network module resource shortage | 网络模块资源不足 | 1. 网络模块可用资源（如连接数）耗尽。 | 1. 关闭不必要的连接，或升级硬件。 |
| `0x1B0F` | Network module unsupported function | 网络模块不支持的功能 | 1. 使用了网络模块不支持的命令或功能。 | 1. 检查网络模块型号和固件，确认支持的功能列表。 |
| `0x1B10` | Network module unsupported protocol version | 网络模块不支持的协议版本 | 1. 通讯协议版本不匹配。 | 1. 检查上位机程序和网络模块的协议版本设置。 |
